,Rank,Name,URL
0,1,Profiling the Immune Epigenome across Global Cattle Breeds,https://www.research.ed.ac.uk/en/datasets/profiling-the-immune-epigenome-across-global-cattle-breeds
1,2,PacBio HiFi raw data of a Boran bull,https://www.research.ed.ac.uk/en/datasets/pacbio-hifi-raw-data-of-a-boran-bull
2,3,CTLGH BMGF poultry sequence data,https://www.research.ed.ac.uk/en/datasets/ctlgh-bmgf-poultry-sequence-data
3,4,PeaceFem,https://www.research.ed.ac.uk/en/datasets/peacefem
4,5,"Physiological measurements (respiration, calcification, ammonia excretion) from laboratory experiments on the effects of temperature and ocean acidification stressors on Desmophyllum dianthus",https://www.research.ed.ac.uk/en/datasets/physiological-measurements-respiration-calcification-ammonia-excr
5,6,A comparative platform for strain typing CWD,https://www.research.ed.ac.uk/en/datasets/a-comparative-platform-for-strain-typing-cwd
6,7,"Understanding Water Resources, Governance, and Meanings in Rural Belize, 2017-2018",https://www.research.ed.ac.uk/en/datasets/understanding-water-resources-governance-and-meanings-in-rural-be
7,8,APP NL/F - 1 year rodent EEG and video recordings. Cerebellum reference,https://www.research.ed.ac.uk/en/datasets/app-nlf-1-year-rodent-eeg-and-video-recordings-cerebellum-referen
8,9,APP NL/F - 1 year rodent EEG and video recordings. Cerebellum reference. Donepezil administration,https://www.research.ed.ac.uk/en/datasets/app-nlf-1-year-rodent-eeg-and-video-recordings-cerebellum-referen-2
9,10,"Matlab codes for ""Refined Composite Multivariate Generalized Multiscale Fuzzy Entropy: A Tool for Complexity Analysis of Multichannel Signals""",https://www.research.ed.ac.uk/en/datasets/matlab-codes-for-refined-composite-multivariate-generalized-multi
10,11,Gaelic POS tagger and tokeniser,https://www.research.ed.ac.uk/en/datasets/gaelic-pos-tagger-and-tokeniser
11,12,Native MS Analysis of Encapsulated Ferritin from Rhodospirillum rubrum,https://www.research.ed.ac.uk/en/datasets/native-ms-analysis-of-encapsulated-ferritin-from-rhodospirillum-r
12,13,APP NL/F - 8 month rodent EEG and video recordings,https://www.research.ed.ac.uk/en/datasets/app-nlf-8-month-rodent-eeg-and-video-recordings
13,14,RNASeq project 850N,https://www.research.ed.ac.uk/en/datasets/rnaseq-project-850n
14,15,RNASeq project 1032N,https://www.research.ed.ac.uk/en/datasets/rnaseq-project-1032n
15,16,gDNA Seq project 2366N,https://www.research.ed.ac.uk/en/datasets/gdna-seq-project-2366n
16,17,"Listening test materials for ""Waveform generation based on signal reshaping for statistical parametric speech synthesis""",https://www.research.ed.ac.uk/en/datasets/listening-test-materials-for-waveform-generation-based-on-signal-
17,18,An Order of the Outside,https://www.research.ed.ac.uk/en/datasets/an-order-of-the-outside
18,19,RNASeq project 818N,https://www.research.ed.ac.uk/en/datasets/rnaseq-project-818n
19,20,"Listening test materials for ""A template-based approach for speech synthesis intonation generation using LSTMs",https://www.research.ed.ac.uk/en/datasets/listening-test-materials-for-a-template-based-approach-for-speech
20,21,Shilluk_2016_controlled_ThreeLevelVowelLength,https://www.research.ed.ac.uk/en/datasets/shilluk2016controlledthreelevelvowellength-2
21,22,Roslin Institute archival data from former staff etc,https://www.research.ed.ac.uk/en/datasets/roslin-institute-archival-data-from-former-staff-etc
22,23,The Voice Conversion Challenge 2016,https://www.research.ed.ac.uk/en/datasets/the-voice-conversion-challenge-2016
23,24,J20 rodent EEG and video recordings,https://www.research.ed.ac.uk/en/datasets/j20-rodent-eeg-and-video-recordings
24,25,Tone-melody correspondence in Vietnamese popular song: supplementary materials,https://www.research.ed.ac.uk/en/datasets/tone-melody-correspondence-in-vietnamese-popular-song-supplementa
0,1,Scattering of inertial waves by random flows,https://www.research.ed.ac.uk/en/datasets/scattering-of-inertial-waves-by-random-flows
1,2,"Matlab codes for ""Improved Multiscale Permutation Entropy for Biomedical Signal Analysis: Interpretation and Application to Electroencephalogram Recordings""",https://www.research.ed.ac.uk/en/datasets/matlab-codes-for-improved-multiscale-permutation-entropy-for-biom-2
2,3,"STratifying Resilience and Depression Longitudinally (STRADL): A depression-focused investigation of Generation Scotland, using detailed clinical, cognitive, and neuroimaging assessments",https://www.research.ed.ac.uk/en/datasets/stratifying-resilience-and-depression-longitudinally-stradl-a-dep
3,4,APP NL/F - 1 year rodent EEG and video recordings. Cortex reference,https://www.research.ed.ac.uk/en/datasets/app-nlf-1-year-rodent-eeg-and-video-recordings-cortex-reference
4,5,journeyMan,https://www.research.ed.ac.uk/en/datasets/journeyman
5,6,"Analysis of EBOV genome sequence from Guinea, Sierra Leone and Liberia from 2014-2016",https://www.research.ed.ac.uk/en/datasets/analysis-of-ebov-genome-sequence-from-guinea-sierra-leone-and-lib
6,7,FitQuest qualitative dataset,https://www.research.ed.ac.uk/en/datasets/fitquest-qualitative-dataset
7,8,Plasma samples from healthy cows,https://www.research.ed.ac.uk/en/datasets/plasma-samples-from-healthy-cows
8,9,Archived data from Burtservers,https://www.research.ed.ac.uk/en/datasets/archived-data-from-burtservers
9,10,John_Hopkins_Paratuberculosis_Archive,https://www.research.ed.ac.uk/en/datasets/johnhopkinsparatuberculosisarchive
10,11,Shilluk Lexicography With Audio Data,https://www.research.ed.ac.uk/en/datasets/shilluk-lexicography-with-audio-data
11,12,Algal phospho- and protein rhythms mass spec data,https://www.research.ed.ac.uk/en/datasets/algal-phospho-and-protein-rhythms-mass-spec-data
12,13,Atlantic salmon Illumina Sequencing,https://www.research.ed.ac.uk/en/datasets/atlantic-salmon-illumina-sequencing
13,14,RA1760 Strain characterisation of vCJD,https://www.research.ed.ac.uk/en/datasets/ra1760-strain-characterisation-of-vcjd
14,15,John_Hopkins_Scrapie_Archive,https://www.research.ed.ac.uk/en/datasets/johnhopkinsscrapiearchive
15,16,Temporal analysis of RNA turnover in Interferon Gamma treated bone marrow-derived macrophages,https://www.research.ed.ac.uk/en/datasets/temporal-analysis-of-rna-turnover-in-interferon-gamma-treated-bon
16,17,"Power output, greenhouse gas emissions and associated marginal changes on the British grid 2009-2014",https://www.research.ed.ac.uk/en/datasets/power-output-greenhouse-gas-emissions-and-associated-marginal-cha
17,18,Plant Systems Modelling database,https://www.research.ed.ac.uk/en/datasets/plant-systems-modelling-database
18,19,John_Hopkins_Tcircumcincta_Archive,https://www.research.ed.ac.uk/en/datasets/johnhopkinstcircumcinctaarchive
19,20,Stancheva lab data set: Epigenetics and regulatory methylation of DNA,https://www.research.ed.ac.uk/en/datasets/stancheva-lab-data-set-epigenetics-and-regulatory-methylation-of-
20,21,Local Authority Engagement in UK Energy Systems,https://www.research.ed.ac.uk/en/datasets/local-authority-engagement-in-uk-energy-systems
21,22,Annotated Reference Corpus of Scottish Gaelic (ARCOSG),https://www.research.ed.ac.uk/en/datasets/annotated-reference-corpus-of-scottish-gaelic-arcosg
22,23,Archaeological Site Dataset for the Jazira Region of Syria,https://www.research.ed.ac.uk/en/datasets/archaeological-site-dataset-for-the-jazira-region-of-syria
23,24,Epigenetic gene silencing by heterochromatin primes fungal resistance,https://www.research.ed.ac.uk/en/datasets/epigenetic-gene-silencing-by-heterochromatin-primes-fungal-resist
24,25,A system for in vivo ablation of MeCP2-deficient neurons in the Rett Syndrome mouse model,https://www.research.ed.ac.uk/en/datasets/a-system-for-in-vivo-ablation-of-mecp2-deficient-neurons-in-the-r
0,1,Synthetic cell-based patterning systems and their applications in stem cell differentiation,https://www.research.ed.ac.uk/en/datasets/synthetic-cell-based-patterning-systems-and-their-applications-in
1,2,The nature and impact of Gordonstoun School’s out-of-classroom learning experiences,https://www.research.ed.ac.uk/en/datasets/the-nature-and-impact-of-gordonstoun-schools-out-of-classroom-lea
2,3,Edinburgh infant language corpus,https://www.research.ed.ac.uk/en/datasets/edinburgh-infant-language-corpus
3,4,The diversity of maternal-age effects upon pre-adult survival across animal species,https://www.research.ed.ac.uk/en/datasets/the-diversity-of-maternal-age-effects-upon-pre-adult-survival-acr
4,5,Substrate specificity of the TRAMP nuclear surveillance complexes,https://www.research.ed.ac.uk/en/datasets/substrate-specificity-of-the-tramp-nuclear-surveillance-complexes
5,6,Centre for Research Collections Reading Room Data August 2017 to July 2019,https://www.research.ed.ac.uk/en/datasets/centre-for-research-collections-reading-room-data-august-2017-to-
6,7,Painting with bacteria: Smart templated self assembly using motile bacteria (Raw data),https://www.research.ed.ac.uk/en/datasets/painting-with-bacteria-smart-templated-self-assembly-using-motile-2
7,8,Sequence analysis for pig leg weakness,https://www.research.ed.ac.uk/en/datasets/sequence-analysis-for-pig-leg-weakness
8,9,Dynamics of copy number variation in host races of the pea aphid,https://www.research.ed.ac.uk/en/datasets/dynamics-of-copy-number-variation-in-host-races-of-the-pea-aphid
9,10,Spires-Jones archived raw lab data 2013-2018,https://www.research.ed.ac.uk/en/datasets/spires-jones-archived-raw-lab-data-2013-2018
10,11,Women and Peace Agreement Database (PA-X Women),https://www.research.ed.ac.uk/en/datasets/women-and-peace-agreement-database-pa-x-women
11,12,Cardiac biomarkers for CMS in Atlantic salmon,https://www.research.ed.ac.uk/en/datasets/cardiac-biomarkers-for-cms-in-atlantic-salmon
12,13,Cryptococcus neoformans transcriptome and translatome analysis 2018,https://www.research.ed.ac.uk/en/datasets/cryptococcus-neoformans-transcriptome-and-translatome-analysis-20
13,14,Conversational alignment in children with an Autism Spectrum Condition and typically developing children_ESRC_grant_datasets,https://www.research.ed.ac.uk/en/datasets/conversational-alignment-in-children-with-an-autism-spectrum-cond
14,15,Formulating foster care for the under 5s scoping study,https://www.research.ed.ac.uk/en/datasets/formulating-foster-care-for-the-under-5s-scoping-study
15,16,Stress-induced translation inhibition through release of 40S scanning initiation factors,https://www.research.ed.ac.uk/en/datasets/stress-induced-translation-inhibition-through-release-of-40s-scan
16,17,"RNA-sequencing of fetal thymic epithelial cells (TECs), in control, loss-of-function and gain-of-function Notch mutants",https://www.research.ed.ac.uk/en/datasets/rna-sequencing-of-fetal-thymic-epithelial-cells-tecs-in-control-l
17,18,PA-X Peace Agreements Database and Dataset V2,https://www.research.ed.ac.uk/en/datasets/pa-x-peace-agreements-database-and-dataset-v2
18,19,Exploration of pneumonia related policy formulation and implementation in Pakistan,https://www.research.ed.ac.uk/en/datasets/exploration-of-pneumonia-related-policy-formulation-and-implement
19,20,"E-MTAB-8164 - RNAseq of young adult C. elegans animals fed on three different bacterial diets, E. coli OP50, B. subtilis PXN21 and a mixture of both",https://www.research.ed.ac.uk/en/datasets/e-mtab-8164-rnaseq-of-young-adult-c-elegans-animals-fed-on-three-
20,21,"Probiotic Bacillus subtilis Protects against a-Synuclein Aggregation in C. elegans (Goya ME et al., Cell Reports, 2020)",https://www.research.ed.ac.uk/en/datasets/probiotic-bacillus-subtilis-protects-against-a-synuclein-aggregat
21,22,Sequence analysis for eight Blackface rams,https://www.research.ed.ac.uk/en/datasets/sequence-analysis-for-eight-blackface-rams
22,23,"Metocean Data Set from the ReDAPT Tidal Project: Batch 1, Part 1",https://www.research.ed.ac.uk/en/datasets/metocean-data-set-from-the-redapt-tidal-project-batch-1-part-1
23,24,Canon Medical - OPTIMA SLICC Case Study,https://www.research.ed.ac.uk/en/datasets/canon-medical-optima-slicc-case-study
24,25,Experimental Force Data of a Restrained ROV under Waves and Current,https://www.research.ed.ac.uk/en/datasets/experimental-force-data-of-a-restrained-rov-under-waves-and-curre
0,1,Lothian Diaries Dataset 1 (May-September 2020),https://www.research.ed.ac.uk/en/datasets/lothian-diaries-dataset-1-may-september-2020
1,2,Effects of inbreeding on behavioural plasticity of parent-offspring interactions in a burying beetle,https://www.research.ed.ac.uk/en/datasets/effects-of-inbreeding-on-behavioural-plasticity-of-parent-offspri
2,3,Systematic analysis of IL-17 receptor signalosome reveals a robust regulatory feedback loop,https://www.research.ed.ac.uk/en/datasets/systematic-analysis-of-il-17-receptor-signalosome-reveals-a-robus
